"K","L","Y"
37.8724716134052,3.83975035962407,29.8928003307604
8.0322831777765,4.7053418309055,12.1743882112105
18.0570748956454,6.30596472081169,21.5737785628181
25.877070488632,4.61200378340715,14.1909590372797
25.2932665888052,8.27291686425524,27.9648605485046
30.5272005477189,8.18419277123577,29.2731483248069
52.4813934029055,9.75227989574003,65.8608147686444
48.8304477411285,10.5917450524627,54.3756080954718
56.5265762628223,10.016947404229,47.1609296017462
81.8997810732938,11.723936044888,75.4985379695423
68.5698623032902,12.1291489774314,51.2369690260087
97.1675178313073,14.7187105530842,70.3170407227439
97.8145192598956,15.1106528777693,80.3062778582417
83.2402054013852,15.9215332320283,118.63346851021
103.960670668099,16.579509540658,97.1293091317283
94.676805113217,17.4378741237147,90.9675351938122
86.0619927691456,19.9975134447553,52.6194302642672
96.9267170046281,18.8948699411867,92.2853088981965
104.951775777324,20.8577121692254,96.762000728249
119.881641494999,22.3149949048879,76.6814939183871
