Date,Open,High,Low,Close,Adj Close,Volume
10/26/2015,701.549988,719.150024,701.26001,712.780029,712.780029,2716600
10/27/2015,707.380005,713.619995,704.549988,708.48999,708.48999,2245800
10/28/2015,707.330017,712.97998,703.080017,712.950012,712.950012,2178900
10/29/2015,710.5,718.26001,710.01001,716.919983,716.919983,1456000
10/30/2015,715.72998,718,710.049988,710.809998,710.809998,1908800
11/2/2015,711.059998,721.619995,705.849976,721.109985,721.109985,1886300
11/3/2015,718.859985,724.650024,714.719971,722.159973,722.159973,1565400
11/4/2015,722,733.099976,721.900024,728.109985,728.109985,1706700
11/5/2015,729.469971,739.47998,729.469971,731.25,731.25,1861600
11/6/2015,731.5,735.409973,727.01001,733.76001,733.76001,1511600
11/9/2015,730.200012,734.710022,719.429993,724.890015,724.890015,2069800
11/10/2015,724.400024,730.590027,718.5,728.320007,728.320007,1608000
11/11/2015,732.460022,741,730.22998,735.400024,735.400024,1366400
11/12/2015,731,737.799988,728.64502,731.22998,731.22998,1837200
11/13/2015,729.169983,731.150024,716.72998,717,717,2075500
11/16/2015,715.599976,729.48999,711.330017,728.960022,728.960022,1905900
11/17/2015,729.289978,731.844971,723.026978,725.299988,725.299988,1510900
11/18/2015,727.580017,741.409973,727,740,740,1684300
11/19/2015,738.73999,742,737.429993,738.409973,738.409973,1327100
11/20/2015,746.530029,757.919983,743,756.599976,756.599976,2212300
11/23/2015,757.450012,762.708008,751.820007,755.97998,755.97998,1414500
11/24/2015,752,755.278992,737.630005,748.280029,748.280029,2333100
11/25/2015,748.140015,752,746.059998,748.150024,748.150024,1122100
11/27/2015,748.460022,753.409973,747.48999,750.26001,750.26001,838500
11/30/2015,748.809998,754.929993,741.27002,742.599976,742.599976,2097600
12/1/2015,747.109985,768.950012,746.700012,767.039978,767.039978,2134600
12/2/2015,768.900024,775.955017,758.960022,762.380005,762.380005,2230400
12/3/2015,766.01001,768.994995,745.630005,752.539978,752.539978,2590600
12/4/2015,753.099976,768.48999,750,766.809998,766.809998,2757300
12/7/2015,767.77002,768.72998,755.090027,763.25,763.25,1812300
12/8/2015,757.890015,764.799988,754.200012,762.369995,762.369995,1829500
12/9/2015,759.169983,764.22998,737.000977,751.609985,751.609985,2700000
12/10/2015,752.849976,755.849976,743.830017,749.460022,749.460022,1988400
12/11/2015,741.159973,745.710022,736.75,738.869995,738.869995,2224400
12/14/2015,741.789978,748.72998,724.169983,747.77002,747.77002,2412500
12/15/2015,753,758.080017,743.01001,743.400024,743.400024,2666200
12/16/2015,750,760.590027,739.434998,758.090027,758.090027,1993300
12/17/2015,762.419983,762.679993,749,749.429993,749.429993,1553400
12/18/2015,746.51001,754.130005,738.150024,739.309998,739.309998,3148700
12/21/2015,746.130005,750,740,747.77002,747.77002,1525700
12/22/2015,751.650024,754.849976,745.530029,750,750,1365400
12/23/2015,753.469971,754.210022,744,750.309998,750.309998,1565900
12/24/2015,749.549988,751.349976,746.619995,748.400024,748.400024,527200
12/28/2015,752.919983,762.98999,749.52002,762.51001,762.51001,1515300
12/29/2015,766.690002,779.97998,766.429993,776.599976,776.599976,1765000
12/30/2015,776.599976,777.599976,766.900024,771,771,1293300
12/31/2015,769.5,769.5,758.340027,758.880005,758.880005,1500900
1/4/2016,743,744.059998,731.257996,741.840027,741.840027,3272800
1/5/2016,746.450012,752,738.640015,742.580017,742.580017,1950700
1/6/2016,730,747.179993,728.919983,743.619995,743.619995,1947000
1/7/2016,730.309998,738.5,719.059998,726.390015,726.390015,2963700
1/8/2016,731.450012,733.22998,713,714.469971,714.469971,2450900
1/11/2016,716.609985,718.85498,703.539978,716.030029,716.030029,2090600
1/12/2016,721.679993,728.75,717.317017,726.070007,726.070007,2024500
1/13/2016,730.849976,734.73999,698.609985,700.559998,700.559998,2501700
1/14/2016,705.380005,721.924988,689.099976,714.719971,714.719971,2225800
1/15/2016,692.289978,706.73999,685.369995,694.450012,694.450012,3608100
1/19/2016,703.299988,709.97998,693.409973,701.789978,701.789978,2268100
1/20/2016,688.609985,706.849976,673.26001,698.450012,698.450012,3445000
1/21/2016,702.179993,719.190002,694.460022,706.590027,706.590027,2412200
