0.3	5
0.3	16
0.4	6.9
0.5	3
0.6	4
0.6	3.6
0.7	3
0.8	3.6
0.8	18
0.9	8.3
1	4
1	3.6
1.1	2
1.3	4
1.3	1.4
1.5	14
1.5	4.8
1.6	3
1.75	10
1.8	3
1.8	3.4
1.9	4
1.9	1
1.95	3
2	3
2.1	2.2
2.2	2.6
2.2	4
2.2	3.3
2.2	0.5
2.25	2
2.4	2.6
2.5	2
2.5	1.8
2.5	3.75
2.5	1
2.5	3
2.5	4.6
2.6	2.6
2.6	2.25
2.6	2.5
2.6	5
2.7	4
2.7	4
2.8	2.6
2.8	1
3	3.75
3	1.2
3	2.6
3.1	1.8
3.2	0.8
3.27	2
3.27	2
3.4	1.8
3.4	2.7
3.5	0.5
3.5	2
3.6	2.3
3.6	2
3.65	2
3.7	1
3.9	3.8
3.9	1.8
3.9	2.7
3.9	3
4	3.8
4	1
4.1	0.51
4.2	3.9
4.3	2
4.4	2
4.5	2
4.8	2
4.8	2.8
4.8	2.8
5	0.5
5.1	0.33
5.2	1
5.22	0.1
5.4	2.6
5.5	3.1
5.7	7
6	0.75
6	1
6.1	2.7
6.2	0.51
6.7	1
7.1	2.6
7.6	0.5
8	1
8	1.5
8.1	0.1
8.2	0.72
8.3	0.72
8.6	2.1
9.2	1.9
10	0.8
10	0.08
10.8	0.5
11.1	0.5
12	0.08
12.2	0.2
13.8	0.5
19.3	0.75
20	0.08
20	1
25	0.1
31	0.3
